time,account_name,cash,equity,open_positions
2024-12-04 20:00:00+00:00,account_1_no_decay,55375.859439614156,55490.14395142163,5
2024-12-04 20:05:00+00:00,account_1_no_decay,55375.859439614156,55475.87291070965,6
2024-12-04 20:10:00+00:00,account_1_no_decay,55375.859439614156,55475.87291070965,6
2024-12-04 20:15:00+00:00,account_1_no_decay,55375.859439614156,55544.36875305042,6
2024-12-04 20:20:00+00:00,account_1_no_decay,55401.6053932242,55510.139135781814,6
2024-12-04 20:25:00+00:00,account_1_no_decay,55401.6053932242,55612.82798758764,6
2024-12-04 20:30:00+00:00,account_1_no_decay,55401.6053932242,55356.10585807308,6
2024-12-04 20:35:00+00:00,account_1_no_decay,55393.05884399025,55390.33547534168,6
2024-12-04 20:40:00+00:00,account_1_no_decay,55393.05884399025,55681.408979742206,6
2024-12-04 20:45:00+00:00,account_1_no_decay,55393.05884399025,55801.26277567184,6
2024-12-04 20:50:00+00:00,account_1_no_decay,55393.05884399025,55842.05217911426,7
2024-12-04 20:55:00+00:00,account_1_no_decay,55393.05884399025,55664.32416836365,7
2024-12-04 21:00:00+00:00,account_1_no_decay,55393.05884399025,55564.47697131275,7
2024-12-04 21:05:00+00:00,account_1_no_decay,55393.05884399025,55474.42238611689,8
2024-12-04 21:10:00+00:00,account_1_no_decay,55393.05884399025,55519.057695703115,8
2024-12-04 21:15:00+00:00,account_1_no_decay,55393.05884399025,55553.94739924079,8
2024-12-04 21:20:00+00:00,account_1_no_decay,55410.13573436999,55567.875853903155,7
2024-12-04 21:25:00+00:00,account_1_no_decay,55410.13573436999,55529.705156166216,7
2024-12-04 21:30:00+00:00,account_1_no_decay,55410.13573436999,55579.77756748461,7
2024-12-04 21:35:00+00:00,account_1_no_decay,55455.83896258928,55602.32047980933,7
2024-12-04 21:40:00+00:00,account_1_no_decay,55455.83896258928,55521.560717070424,7
2024-12-04 21:45:00+00:00,account_1_no_decay,55455.83896258928,55558.64029904598,7
2024-12-04 21:50:00+00:00,account_1_no_decay,55518.735407074586,55467.60949401748,7
2024-12-04 21:55:00+00:00,account_1_no_decay,55518.735407074586,55387.34037736127,7
2024-12-04 22:00:00+00:00,account_1_no_decay,55518.735407074586,55537.435835054035,7
2024-12-04 22:05:00+00:00,account_1_no_decay,55524.441246820985,55436.66009891918,7
2024-12-04 22:10:00+00:00,account_1_no_decay,55524.441246820985,55440.68793339569,7
2024-12-04 22:15:00+00:00,account_1_no_decay,55524.441246820985,55356.60817556084,7
2024-12-04 22:20:00+00:00,account_1_no_decay,55377.22562921017,55312.46553241177,5
2024-12-04 22:25:00+00:00,account_1_no_decay,55307.984305655176,55305.906627020566,4
2024-12-04 22:30:00+00:00,account_1_no_decay,55446.795408772225,55396.296254754336,3
2024-12-04 22:35:00+00:00,account_1_no_decay,55443.93939681479,55508.73918040634,3
2024-12-04 22:40:00+00:00,account_1_no_decay,55443.93939681479,55511.449135614654,3
2024-12-04 22:45:00+00:00,account_1_no_decay,55443.93939681479,55507.755551842485,3
2024-12-04 22:50:00+00:00,account_1_no_decay,55443.93939681479,55542.0267875759,4
2024-12-05 16:35:00+00:00,account_1_no_decay,55193.17951518445,55193.17951518445,0
2024-12-05 16:40:00+00:00,account_1_no_decay,55193.17951518445,55193.17951518445,0
2024-12-05 16:45:00+00:00,account_1_no_decay,55193.17951518445,55193.17951518445,0
2024-12-05 16:50:00+00:00,account_1_no_decay,55193.17951518445,55163.0469704631,1
2024-12-05 16:55:00+00:00,account_1_no_decay,55124.18804079047,55124.18804079047,0
2024-12-05 17:00:00+00:00,account_1_no_decay,55124.18804079047,55124.18804079047,0
2024-12-05 17:05:00+00:00,account_1_no_decay,55124.18804079047,55133.6275255197,1
2024-12-05 17:10:00+00:00,account_1_no_decay,55124.18804079047,55121.61363586431,1
2024-12-05 17:15:00+00:00,account_1_no_decay,55124.18804079047,55160.22970975663,1
2024-12-05 17:20:00+00:00,account_1_no_decay,55124.18804079047,55075.343168283754,2
2024-12-05 17:25:00+00:00,account_1_no_decay,55055.28280573948,55072.44550524718,1
